School,Location
Abilene Christian,"Abilene, TX"
Air Force,"Colorado Springs, CO"
Akron,"Akron, OH"
Alabama,"Tuscaloosa, AL"
Alabama A&M,"Huntsville, AL"
Alabama State,"Montgomery, AL"
Albany,"Albany, NY"
Alcorn State,"Lorman, MS"
American University,"Washington, DC"
Appalachian State,"Boone, NC"
Arizona,"Tucson, AZ"
Arizona State,"Tempe, AZ"
Arkansas,"Fayetteville, AR"
Arkansas State,"Jonesboro, AR"
Arkansas-Pine Bluff,"Pine Bluff, AR"
Army West Point,"West Point, NY"
Auburn,"Auburn, AL"
Austin Peay,"Clarksville, TN"
Ball State,"Muncie, IN"
Baylor,"Waco, TX"
Bellarmine,"Louisville, KY"
Belmont,"Nashville, TN"
Bethune-Cookman,"Daytona Beach, FL"
Binghamton,"Binghamton, NY"
Boise State,"Boise, ID"
Boston College,"Chestnut Hill, MA"
Boston University,"Boston, MA"
Bowling Green,"Bowling Green, OH"
Bradley,"Peoria, IL"
Brigham Young,"Provo, UT"
Brown,"Providence, RI"
Bryant,"Smithfield, RI"
Bucknell,"Lewisburg, PA"
Buffalo,"Buffalo, NY"
Butler,"Indianapolis, IN"
Cal Poly,"San Luis Obispo, CA"
Cal State Bakersfield,"Bakersfield, CA"
Cal State Fullerton,"Fullerton, CA"
Cal State Northridge,"Northridge, CA"
California,"Berkeley, CA"
California Baptist,"Riverside, CA"
Campbell,"Buies Creek, NC"
Canisius,"Buffalo, NY"
Central Arkansas,"Conway, AR"
Central Connecticut State,"New Britain, CT"
Central Michigan,"Mount Pleasant, MI"
Charleston,"Charleston, SC"
Charleston Southern,"Charleston, SC"
Charlotte,"Charlotte, NC"
Chattanooga,"Chattanooga, TN"
Chicago State,"Chicago, IL"
Cincinnati,"Cincinnati, OH"
Clemson,"Clemson, SC"
Cleveland State,"Cleveland, OH"
Coastal Carolina,"Conway, SC"
Colgate,"Hamilton, NY"
Colorado,"Boulder, CO"
Colorado State,"Fort Collins, CO"
Columbia,"New York, NY"
Coppin State,"Baltimore, MD"
Cornell,"Ithaca, NY"
Creighton,"Omaha, NE"
Dartmouth,"Hanover, NH"
Davidson,"Davidson, NC"
Dayton,"Dayton, OH"
Delaware,"Newark, DE"
Delaware State,"Dover, DE"
Denver,"Denver, CO"
DePaul,"Chicago, IL"
Detroit-Mercy,"Detroit, MI"
Drake,"Des Moines, IA"
Drexel,"Philadelphia, PA"
Duke,"Durham, NC"
Duquesne,"Pittsburgh, PA"
East Carolina,"Greenville, NC"
East Tennessee State,"Johnson City, TN"
East Texas A&M,"Commerce, TX"
Eastern Illinois,"Charleston, IL"
Eastern Kentucky,"Richmond, KY"
Eastern Michigan,"Ypsilanti, MI"
Eastern Washington,"Cheney, WA"
Elon,"Elon, NC"
Evansville,"Evansville, IN"
Fairfield,"Fairfield, CT"
Fairleigh Dickinson,"Hackensack, NJ"
Florida,"Gainesville, FL"
Florida A&M,"Tallahassee, FL"
Florida Atlantic,"Boca Raton, FL"
Florida Gulf Coast,"Fort Myers, FL"
Florida International,"Miami, FL"
Florida State,"Tallahassee, FL"
Fordham,"Bronx, NY"
Fort Wayne,"Fort Wayne, IN"
Fresno State,"Fresno, CA"
Furman,"Greenville, SC"
Gardner-Webb,"Boiling Springs, NC"
George Mason,"Fairfax, VA"
George Washington,"Washington, DC"
Georgetown,"Washington, DC"
Georgia,"Athens, GA"
Georgia Southern,"Statesboro, GA"
Georgia State,"Atlanta, GA"
Georgia Tech,"Atlanta, GA"
Gonzaga,"Spokane, WA"
Grambling State,"Grambling, LA"
Grand Canyon,"Phoenix, AZ"
Green Bay,"Ashwaubenon, WI"
Hampton,"Hampton, VA"
Hartford,"Hartford, CT"
Harvard,"Cambridge, MA"
Hawaii,"Honolulu, HI"
High Point,"High Point, NC"
Hofstra,"Hempstead, NY"
Holy Cross,"Worcester, MA"
Houston,"Houston, TX"
Houston Christian,"Houston, TX"
Howard,"Washington, DC"
Idaho,"Moscow, ID"
Idaho State,"Pocatello, ID"
Illinois,"Champaign, IL"
Illinois State,"Normal, IL"
Illinois-Chicago,"Chicago, IL"
Incarnate Word,"San Antonio, TX"
Indiana,"Bloomington, IN"
Indiana State,"Terre Haute, IN"
Iona,"New Rochelle, NY"
Iowa,"Iowa City, IA"
Iowa State,"Ames, IA"
IU Indy,"Indianapolis, IN"
Jackson State,"Jackson, MS"
Jacksonville,"Jacksonville, FL"
Jacksonville State,"Jacksonville, AL"
James Madison,"Harrisonburg, VA"
Kansas,"Lawrence, KS"
Kansas State,"Manhattan, KS"
Kennesaw State,"Kennesaw, GA"
Kent State,"Kent, OH"
Kentucky,"Lexington, KY"
La Salle,"Philadelphia, PA"
Lafayette,"Easton, PA"
Lamar,"Beaumont, TX"
Le Moyne,"Syracuse, NY"
Lehigh,"Bethlehem, PA"
Liberty,"Lynchburg, VA"
Lindenwood,"Saint Charles, MO"
Lipscomb,"Nashville, TN"
Little Rock,"Little Rock, AR"
Long Beach State,"Long Beach, CA"
Long Island,"Brooklyn, NY"
Longwood,"Farmville, VA"
Louisiana,"Lafayette, LA"
Louisiana Tech,"Ruston, LA"
Louisiana-Monroe,"Monroe, LA"
Louisville,"Louisville, KY"
Loyola (IL),"Chicago, IL"
Loyola (MD),"Baltimore, MD"
Loyola Marymount,"Los Angeles, CA"
LSU,"Baton Rouge, LA"
Maine,"Bangor, ME"
Manhattan,"Riverdale, NY"
Marist,"Poughkeepsie, NY"
Marquette,"Milwaukee, WI"
Marshall,"Huntington, WV"
Maryland,"College Park, MD"
Maryland-Eastern Shore,"Princess Anne, MD"
Massachusetts,"Amherst, MA"
McNeese State,"Lake Charles, LA"
Memphis,"Memphis, TN"
Mercer,"Macon, GA"
Mercyhurst,"Erie, PA"
Merrimack College,"North Andover, MA"
Miami (FL),"Coral Gables, FL"
Miami (OH),"Oxford, OH"
Michigan,"Ann Arbor, MI"
Michigan State,"East Lansing, MI"
Middle Tennessee State,"Murfreesboro, TN"
Milwaukee,"Milwaukee, WI"
Minnesota,"Minneapolis, MN"
Mississippi State,"Starkville, MS"
Mississippi Valley State,"Itta Bena, MS"
Missouri,"Columbia, MO"
Missouri State,"Springfield, MO"
Monmouth,"West Long Branch, NJ"
Montana,"Missoula, MT"
Montana State,"Bozeman, MT"
Morehead State,"Morehead, KY"
Morgan State,"Baltimore, MD"
Mount St. Mary's,"Emmitsburg, MD"
Murray State,"Murray, KY"
N.J.I.T.,"Newark, NJ"
Navy,"Annapolis, MD"
NC State,"Raleigh, NC"
Nebraska,"Lincoln, NE"
Nevada,"Reno, NV"
New Hampshire,"Durham, NH"
New Mexico,"Albuquerque, NM"
New Mexico State,"Las Cruces, NM"
New Orleans,"New Orleans, LA"
Niagara,"Niagara Falls, NY"
Nicholls State,"Thibodaux, LA"
Norfolk State,"Norfolk, VA"
North Alabama,"Florence, AL"
North Carolina,"Chapel Hill, NC"
North Carolina A&T,"Greensboro, NC"
North Carolina Central,"Durham, NC"
North Dakota,"Grand Forks, ND"
North Dakota State,"Fargo, ND"
North Florida,"Jacksonville, FL"
North Texas,"Denton, TX"
Northeastern,"Boston, MA"
Northern Arizona,"Flagstaff, AZ"
Northern Colorado,"Greeley, CO"
Northern Illinois,"DeKalb, IL"
Northern Iowa,"Cedar Falls, IA"
Northern Kentucky,"Highland Heights, KY"
Northwestern,"Evanston, IL"
Northwestern State,"Natchitoches, LA"
Notre Dame,"South Bend, IN"
Oakland,"Rochester, MI"
Ohio,"Athens, OH"
Ohio State,"Columbus, OH"
Oklahoma,"Norman, OK"
Oklahoma State,"Stillwater, OK"
Old Dominion,"Norfolk, VA"
Ole Miss,"Oxford, MS"
Omaha,"Omaha, NE"
Oral Roberts,"Tulsa, OK"
Oregon,"Eugene, OR"
Oregon State,"Corvallis, OR"
Pacific,"Stockton, CA"
Penn State,"University Park, PA"
Pennsylvania,"Philadelphia, PA"
Pepperdine,"Malibu, CA"
Pittsburgh,"Pittsburgh, PA"
Portland,"Portland, OR"
Portland State,"Portland, OR"
Prairie View A&M,"Prairie View, TX"
Presbyterian,"Clinton, SC"
Princeton,"Princeton, NJ"
Providence,"Providence, RI"
Purdue,"West Lafayette, IN"
Queens University,"Charlotte, NC"
Quinnipiac,"Hamden, CT"
Radford,"Radford, VA"
Rhode Island,"Kingston, RI"
Rice,"Houston, TX"
Richmond,"Richmond, VA"
Rider,"Lawrenceville, NJ"
Robert Morris,"Moon Township, PA"
Rutgers,"Piscataway, NJ"
Sacramento State,"Sacramento, CA"
Sacred Heart,"Fairfield, CT"
Saint Joseph's,"Philadelphia, PA"
Saint Louis,"St. Louis, MO"
Saint Mary's,"Moraga, CA"
Saint Peter's,"Jersey City, NJ"
Sam Houston State,"Huntsville, TX"
Samford,"Homewood, AL"
San Diego,"San Diego, CA"
San Diego State,"San Diego, CA"
San Francisco,"San Francisco, CA"
San Jose State,"San Jose, CA"
Santa Clara,"Santa Clara, CA"
Seattle,"Seattle, WA"
Seton Hall,"Newark, NJ"
Siena,"Albany, NY"
SIU-Edwardsville,"Edwardsville, IL"
South Alabama,"Mobile, AL"
South Carolina,"Columbia, SC"
South Carolina State,"Orangeburg, SC"
South Dakota,"Vermillion, SD"
South Dakota State,"Brookings, SD"
South Florida,"Tampa, FL"
Southeast Missouri State,"Cape Girardeau, MO"
Southeastern Louisiana,"Hammond, LA"
Southern,"Baton Rouge, LA"
Southern Illinois,"Carbondale, IL"
Southern Indiana,"Evansville, IN"
Southern Methodist,"Dallas, TX"
Southern Mississippi,"Hattiesburg, MS"
Southern Utah,"Cedar City, UT"
St. Bonaventure,"Saint Bonaventure, NY"
St. Francis (PA),"Loretto, PA"
St. John's,"Queens, NY"
St. Thomas-Minnesota,"Saint Paul, MN"
Stanford,"Stanford, CA"
Stephen F. Austin,"Nacogdoches, TX"
Stetson,"DeLand, FL"
Stonehill,"South Easton, MA"
Stony Brook,"Stony Brook, NY"
Syracuse,"Syracuse, NY"
Tarleton State,"Stephenville, TX"
TCU,"Fort Worth, TX"
Temple,"Philadelphia, PA"
Tennessee,"Knoxville, TN"
Tennessee State,"Nashville, TN"
Tennessee Tech,"Cookeville, TN"
Tennessee-Martin,"Martin, TN"
Texas,"Austin, TX"
Texas A&M,"College Station, TX"
Texas A&M-CC,"Corpus Christi, TX"
Texas Southern,"Houston, TX"
Texas State,"San Marcos, TX"
Texas Tech,"Lubbock, TX"
Texas-Arlington,"Arlington, TX"
Texas-RGV,"Edinburg, TX"
Texas-San Antonio,"San Antonio, TX"
The Citadel,"Charleston, SC"
Toledo,"Toledo, OH"
Towson,"Towson, MD"
Troy,"Troy, AL"
Tulane,"New Orleans, LA"
Tulsa,"Tulsa, OK"
UAB,"Birmingham, AL"
UC Davis,"Davis, CA"
UC Irvine,"Irvine, CA"
UC Riverside,"Riverside, CA"
UC San Diego,"San Diego, CA"
UC Santa Barbara,"Santa Barbara, CA"
UCF,"Orlando, FL"
UCLA,"Los Angeles, CA"
UConn,"Storrs, CT"
UMass Lowell,"Lowell, MA"
UMBC,"Baltimore, MD"
UMKC,"Kansas City, MO"
UNC Asheville,"Asheville, NC"
UNC Greensboro,"Greensboro, NC"
UNC Wilmington,"Wilmington, NC"
UNLV,"Las Vegas, NV"
USC,"Los Angeles, CA"
USC Upstate,"Spartanburg, SC"
Utah,"Salt Lake City, UT"
Utah State,"Logan, UT"
Utah Tech,"St. George, UT"
Utah Valley,"Orem, UT"
UTEP,"El Paso, TX"
Valparaiso,"Valparaiso, IN"
Vanderbilt,"Nashville, TN"
VCU,"Richmond, VA"
Vermont,"Burlington, VT"
Villanova,"Villanova, PA"
Virginia,"Charlottesville, VA"
Virginia Military,"Lexington, VA"
Virginia Tech,"Blacksburg, VA"
Wagner,"Staten Island, NY"
Wake Forest,"Winston-Salem, NC"
Washington,"Seattle, WA"
Washington State,"Pullman, WA"
Weber State,"Ogden, UT"
West Georgia,"Carrollton, GA"
West Virginia,"Morgantown, WV"
Western Carolina,"Cullowhee, NC"
Western Illinois,"Macomb, IL"
Western Kentucky,"Bowling Green, KY"
Western Michigan,"Kalamazoo, MI"
Wichita State,"Wichita, KS"
William & Mary,"Williamsburg, VA"
Winthrop,"Rock Hill, SC"
Wisconsin,"Madison, WI"
Wofford,"Spartanburg, SC"
Wright State,"Dayton, OH"
Wyoming,"Laramie, WY"
Xavier,"Cincinnati, OH"
Yale,"New Haven, CT"
Youngstown State,"Youngstown, OH"